Metric,Description,ISO_42001_Mappings,Primary_Focus,Total_Mappings
AI-risk Identification Coverage,Higher coverage suggests a more comprehensive AI-risk assessment process.,4.3 (Scope determination); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.1 (Operational planning and control); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.2 (Internal audit),4.3,7
AI-risk Incident Rate,Tracks the frequency of incidents related to AI-risks.,10.2 (Nonconformity and corrective action); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.1 (Monitoring and measurement),10.2,6
AI-risk Mitigation Implementation Rate,Tracks the progress of implementing risk mitigation strategies.,6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution),6.1.2,4
AI-risk Reassessment Frequency,Measures how often AI-risk assessments are reviewed and updated.,5.3 (Roles and responsibilities); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 6.3 (Change planning); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.2 (Internal audit),5.3,7
AI-Specific Security Tool Adoption Rate,Higher adoption rate suggests a greater focus on addressing the unique security challenges posed by AI systems.,6.1.2 (AI risk assessment); 8.1 (Operational planning and control); A.4 (Resources for AI systems),6.1.2,3
Anonymisation/Pseudonymisation/Synthetic Data Usage Rate,Reflects the adoption of techniques to de-identify personal data used in AI systems.,6.1.4 (AI system impact assessment); A.4 (Resources for AI systems); A.7 (Data for AI systems); A.9 (Use of AI systems),6.1.4,4
Audit finding density per AI governance domain,This helps to pinpoint which aspects of your governance framework are most frequently failing.,5.1 (Leadership and commitment); 5.2 (AI policy); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,6
Automated Performance Monitoring Coverage,Shows the extent to which AI models are being monitored automatically for performance issues.,10.2 (Nonconformity and corrective action); 4.3 (Scope determination); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement); A.6 (AI system life cycle),10.2,5
Average decision cycle time vs. Policy-defined time-frames,Lengthy decision cycles can hinder agility and innovation.,5.2 (AI policy); A.2 (Policies related to AI),5.2,2
Average MTTR for AI Systems,Measures how quickly AI systems can be restored after a failure.,10.2 (Nonconformity and corrective action); 5.3 (Roles and responsibilities); 9.1 (Monitoring and measurement); A.4 (Resources for AI systems),10.2,4
Average Residual AI-risk Score,Provides an overall picture of the AI-risk level remaining after mitigation efforts.,5.3 (Roles and responsibilities); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution),5.3,5
Average time from project initiation to governance approval,"Delays in this area can be significant, not only stifle innovation but can also render models obsolete before they are even deployed.",5.1 (Leadership and commitment); 5.2 (AI policy); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,4
Bias Detection Test Coverage,Higher coverage suggests a commitment to identifying and mitigating potential bias in AI models.,4.3 (Scope determination); 5.1 (Leadership and commitment); 6.1.4 (AI system impact assessment); A.5 (Assessing impacts of AI systems); A.7 (Data for AI systems),4.3,5
Board-level AI risk reporting frequency,"Boards should receive updates on AI risk at least annually, quarterly reporting for organisations with substantial AI exposure or critical applications or whenever significant AI projects or deployments occur.",5.1 (Leadership and commitment); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 6.3 (Change planning); 7.4 (Communication); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); A.3 (Internal organisation); A.6 (AI system life cycle),5.1,9
Compliance with AI Safety Standards,Indicates the extent to which AI systems comply with industry-specific or regulatory safety standards.,4.1 (Understanding organisational context); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI); A.4 (Resources for AI systems),4.1,5
Cost of AI incidents attributable to governance failures vs. technical failures,Understanding the root cause of these costs is crucial for targeted investment.,10.2 (Nonconformity and corrective action); 5.1 (Leadership and commitment); 5.2 (AI policy); 6.2 (AI objectives planning); 9.1 (Monitoring and measurement); A.2 (Policies related to AI); A.3 (Internal organisation); A.9 (Use of AI systems),10.2,8
Cost of governance delays as a percentage of total project cost,Quantifying the financial impact of governance bottlenecks can be a powerful motivator for process improvement.,10.1 (Continual improvement); 5.1 (Leadership and commitment); 5.2 (AI policy); 8.1 (Operational planning and control); A.2 (Policies related to AI); A.3 (Internal organisation),10.1,6
Cross-jurisdictional Regulatory Alignment Score,Assesses how well AI governance practices align across different regulatory jurisdictions and emerging legal frameworks globally.,5.1 (Leadership and commitment); 5.2 (AI policy); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,4
Data Lineage Traceability,"Higher percentage reflects stronger data governance and the ability to understand the origin and transformations of data used in AI models, enhancing transparency and accountability.",5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); A.2 (Policies related to AI); A.3 (Internal organisation); A.4 (Resources for AI systems); A.7 (Data for AI systems); A.8 (Information for interested parties); A.9 (Use of AI systems),5.1,9
Data Minimisation Implementation Rate,Measures the extent to which data minimisation practices are being applied to AI systems.,A.4 (Resources for AI systems); A.7 (Data for AI systems),A.4,2
Dataset Bias Audit Rate,Reflects proactive efforts to ensure training data does not perpetuate or amplify existing biases.,6.1.4 (AI system impact assessment); 7.2 (Competence); 7.3 (Awareness); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.4 (Resources for AI systems); A.5 (Assessing impacts of AI systems); A.7 (Data for AI systems),6.1.4,8
Documentation Completeness,"Measures the extent to which AI development, deployment, and monitoring processes are documented, contributing to transparency and auditability.",5.2 (AI policy); 7.5 (Documented information); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.4 (Resources for AI systems); A.6 (AI system life cycle); A.8 (Information for interested parties),5.2,8
Documentation completeness score at each stage,"Inadequate documentation is a recurring theme, complicating bias detection, error correction, and audits.",6.1.4 (AI system impact assessment); 7.5 (Documented information); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.4 (Resources for AI systems); A.5 (Assessing impacts of AI systems); A.7 (Data for AI systems),6.1.4,7
Estimated compliance cost as a percentage of the AI programme budget,This provides a clear financial picture of the cost of compliance.,7.1 (Resources); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI),7.1,4
Estimated time and cost to achieve compliance with new regulations,Will vary between sectors and AI use-cases.,9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI); A.9 (Use of AI systems),9.1,4
Fairness Metric Tracking Rate,Shows the extent to which fairness metrics are being used to measure and monitor AI models for potential bias.,6.1.4 (AI system impact assessment); 9.1 (Monitoring and measurement); A.5 (Assessing impacts of AI systems); A.7 (Data for AI systems); A.9 (Use of AI systems),6.1.4,5
Governance coverage percentage by AI use case type,This highlights which areas of AI application have the most robust governance.,4.3 (Scope determination); 5.1 (Leadership and commitment); 5.2 (AI policy); A.2 (Policies related to AI); A.3 (Internal organisation); A.9 (Use of AI systems),4.3,6
Human-in-the-Loop Intervention Rate,"Tracks the frequency and effectiveness of human interventions in AI decision-making processes, including override capabilities and escalation procedures.",8.1 (Operational planning and control); A.9 (Use of AI systems),8.1,2
Internal AI Governance Audit Frequency,Measures how often the organisation conducts internal audits to assess its AI governance practices.,5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,7
LLM Hallucination Detection Coverage,Measures the effectiveness of systems in identifying and flagging hallucinated or fabricated content in large language model outputs before reaching end users.,4.2 (Interested parties and stakeholders); 4.3 (Scope determination); 9.1 (Monitoring and measurement); A.4 (Resources for AI systems); A.6 (AI system life cycle); A.9 (Use of AI systems),4.2,6
Mean time to AI incident detection,The goal is to continuously reduce this window of vulnerability.,10.2 (Nonconformity and corrective action); 6.2 (AI objectives planning); 9.1 (Monitoring and measurement),10.2,3
Number of dedicated AI governance FTEs,"Organisations handling high-risk AI (e.g., pharma, financial services) often employ more governance resources relative to revenue than those focused on low-risk, internal tools.",5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 7.1 (Resources); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); A.2 (Policies related to AI); A.3 (Internal organisation); A.4 (Resources for AI systems); A.9 (Use of AI systems),5.1,12
Number of escalation paths that bypass designated decision-makers,Frequent bypassing of formal channels indicates a flawed or inefficient process.,8.1 (Operational planning and control),8.1,1
Number of governance checkpoints bypassed per project,"This metric directly reflects the adherence to, or disregard for, established AI governance protocols.",5.1 (Leadership and commitment); 5.2 (AI policy); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,4
Number of governance processes that failed during AI incident response,This analysis helps to identify the weakest links in the governance chain.,10.2 (Nonconformity and corrective action); 5.1 (Leadership and commitment); 5.2 (AI policy); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement); A.2 (Policies related to AI); A.3 (Internal organisation),10.2,7
Number of post-deployment governance issues discovered,A high number of issues post-launch often points to weaknesses in the initial governance and review process.,10.2 (Nonconformity and corrective action); 5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); 8.1 (Operational planning and control); 9.2 (Internal audit); A.2 (Policies related to AI); A.3 (Internal organisation); A.6 (AI system life cycle),10.2,9
Number of process changes implemented post-incident,The true test of learning is whether insights from an incident lead to sustained process improvements.,10.1 (Continual improvement); 10.2 (Nonconformity and corrective action); 6.3 (Change planning); 8.1 (Operational planning and control); 9.1 (Monitoring and measurement),10.1,5
Number of vendor contracts with AI-specific governance clauses,"Contracts should explicitly address data rights, model transparency, and liability.",4.2 (Interested parties and stakeholders); 5.1 (Leadership and commitment); 5.2 (AI policy); A.10 (Third-party relationships); A.2 (Policies related to AI); A.3 (Internal organisation); A.4 (Resources for AI systems); A.7 (Data for AI systems); A.8 (Information for interested parties); A.9 (Use of AI systems),4.2,10
Percentage of AI incidents revealing unknown governance gaps,A significant percentage here indicates a reactive rather than proactive governance posture.,10.2 (Nonconformity and corrective action); 5.1 (Leadership and commitment); 5.2 (AI policy); 9.1 (Monitoring and measurement); A.2 (Policies related to AI); A.3 (Internal organisation),10.2,6
Percentage of AI projects with formal risk assessments,Auditing AI models will fast become a non-negotiable requirement with large organisations facing more scrutiny in disparate jurisdictions.,6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.1 (Monitoring and measurement); 9.2 (Internal audit),6.1.2,6
Percentage of AI vendors with completed due diligence assessments,This is a fundamental first step in managing vendor risk.,4.2 (Interested parties and stakeholders); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.2 (Internal audit); A.10 (Third-party relationships),4.2,7
Percentage of employees who can correctly identify their AI governance responsibilities,"A lack of clarity at the executive level can lead to inconsistent and ineffective governance (tricky, but powerful)",5.1 (Leadership and commitment); 5.2 (AI policy); 5.3 (Roles and responsibilities); A.2 (Policies related to AI); A.3 (Internal organisation),5.1,5
Percentage of staff requiring additional training,A prepared workforce is central to successful regulatory adaptation.,7.2 (Competence); 7.3 (Awareness),7.2,2
Percentage of vendor AI changes that trigger internal governance reviews,Changes to vendor models can introduce new risks that require attention.,4.2 (Interested parties and stakeholders); 5.1 (Leadership and commitment); 5.2 (AI policy); 6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 6.3 (Change planning); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.2 (Internal audit); A.10 (Third-party relationships); A.2 (Policies related to AI); A.3 (Internal organisation),4.2,12
Policy compliance scores across different business units,This can identify departments or teams that may require additional training or support.,5.2 (AI policy); 7.2 (Competence); 7.3 (Awareness); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.2 (Policies related to AI),5.2,6
Risk assessment completion rates by model complexity,"This can reveal if more complex, and potentially riskier, projects are receiving the necessary scrutiny.",6.1.2 (AI risk assessment); 6.1.3 (AI risk treatment); 8.2 (AI risk assessment execution); 8.3 (AI risk treatment execution); 9.2 (Internal audit),6.1.2,5
Stress Test Pass Rate,Reflects the resilience of AI systems under high workloads or unexpected inputs.,A.4 (Resources for AI systems),A.4,1
Time to Resolve Data Breaches Involving AI,Shorter resolution times indicate a more efficient and effective response to data breaches.,A.4 (Resources for AI systems); A.7 (Data for AI systems),A.4,2
Vendor incident notification compliance rate,Timely notification of incidents is critical for effective response.,10.2 (Nonconformity and corrective action); 4.2 (Interested parties and stakeholders); 9.1 (Monitoring and measurement); 9.2 (Internal audit); A.10 (Third-party relationships); A.2 (Policies related to AI),10.2,6
